Potential (V),Current (A),,
0.519199789,0.000598606,,
0.524374962,0.000609783,,
0.529420733,0.000621758,,
0.534337163,0.000633414,,
0.538994849,0.000645389,,
0.544428766,0.000656886,,
0.549345195,0.000668382,,
0.554261625,0.000680357,,
0.559178054,0.000692013,,
0.564094424,0.000704148,,
0.569398999,0.000715645,,
0.574444771,0.00072746,,
0.579231858,0.000738797,,
0.58427763,0.000750453,,
0.589323461,0.00076179,,
0.594369233,0.000772966,,
0.59915626,0.000783824,,
0.603943288,0.000795161,,
0.608859718,0.000806178,,
0.614034891,0.000817036,,
0.619210064,0.000828692,,
0.62386775,0.00083907,,
0.628913522,0.000849928,,
0.633959353,0.000860466,,
0.639134526,0.000871324,,
0.644180298,0.000881702,,
0.649226129,0.000892081,,
0.654142499,0.0009023,,
0.658929586,0.00091188,,
0.663975358,0.00092178,,
0.668891788,0.0009312,,
0.674066961,0.00094078,,
0.679242134,0.000950041,,
0.684417307,0.000958983,,
0.689074993,0.000967605,,
0.694120765,0.000976068,,
0.699166536,0.00098469,,
0.704082966,0.000992514,,
0.708999395,0.001000817,,
0.714174569,0.001008161,,
0.719479144,0.001015666,,
0.724007428,0.001022691,,
0.728923798,0.001029238,,
0.734228373,0.001035625,,
0.738886058,0.001041692,,
0.743802488,0.00104744,,
0.749107003,0.001053348,,
0.754023433,0.001058937,,
0.759328008,0.001064206,,
0.763985634,0.001069794,,
0.769290209,0.001073946,,
0.77433598,0.001078417,,
0.779381812,0.001081929,,
0.784039438,0.001085123,,
0.789214611,0.001088955,,
0.794260442,0.00109119,,
0.799176872,0.001093745,,
0.804222643,0.0010963,,
0.809009671,0.001097737,,
0.814055502,0.001099493,,
0.819101274,0.00110093,,
0.824147105,0.001102367,,
0.829063475,0.001103166,,
0.834109306,0.001103485,,
0.839025736,0.001103485,,
0.844200909,0.001103645,,
0.849246681,0.001103325,,
0.85416311,0.001101888,,
0.858950138,0.00110109,,
0.864125311,0.001099972,,
0.869300485,0.001098695,,
0.874346316,0.001096779,,
0.879133344,0.001094543,,
0.884049773,0.001092308,,
0.888966143,0.001089913,,
0.894270718,0.001086719,,
0.899445891,0.001083526,,
0.904232919,0.001080013,,
0.909020007,0.001076501,,
0.914583266,0.001073148,,
0.919629097,0.001068996,,
0.924545527,0.001064845,,
0.929461956,0.001060374,,
0.934507728,0.001055264,,
0.939553499,0.001050155,,
0.94459933,0.001045045,,
0.949386358,0.001039617,,
0.954690933,0.001034188,,
0.959348559,0.001028599,,
0.964523733,0.001022532,,
0.969440162,0.001016943,,
0.974615335,0.001011195,,
0.979402363,0.001004489,,
0.984448195,0.000997943,,
0.989364624,0.000992035,,
0.994539797,0.000985648,,
0.999456167,0.000978782,,
1.004372597,0.000972395,,
1.009418368,0.000965689,,
1.014464259,0.000958823,,
1.019510031,0.000952436,,
1.02442646,0.00094573,,
1.029472232,0.000939343,,
1.034518003,0.000932318,,
1.039305091,0.000925452,,
1.044480205,0.000918586,,
1.049525976,0.000912199,,
1.054313064,0.000905333,,
1.059488297,0.000899426,,
1.064534068,0.00089256,,
1.069450498,0.000886013,,
1.074237466,0.000880106,,
1.079542041,0.000873559,,
1.08445847,0.000867492,,
1.089504242,0.000861105,,
1.094420671,0.000854878,,
1.099337101,0.000849129,,
1.104641676,0.000843222,,
1.10916996,0.000837473,,
1.114474535,0.000831246,,
1.119649649,0.000825817,,
1.124307275,0.000820389,,
1.129223704,0.00081512,,
1.134269595,0.000809531,,
1.139444709,0.000804262,,
1.144231796,0.000798993,,
1.149277568,0.000794203,,
1.154064655,0.000789732,,
1.159110427,0.000785101,,
1.164156199,0.00078095,,
1.169331312,0.000776639,,
1.1741184,0.000772487,,
1.179293633,0.000768336,,
1.184468746,0.000764185,,
1.189255834,0.000760512,,
1.194042802,0.000756361,,
1.199218035,0.000752369,,
1.204393148,0.000749495,,
1.209439039,0.00074678,,
1.214872956,0.000743268,,
1.219271779,0.000740074,,
1.224447012,0.000737041,,
1.229622126,0.000734486,,
1.234409213,0.000731771,,
1.239325643,0.000729057,,
1.244500756,0.000726662,,
1.249417186,0.000724107,,
1.254463077,0.000722031,,
1.25963819,0.000720115,,
1.264425278,0.00071772,,
1.269600391,0.000716443,,
1.274775624,0.000714846,,
1.280080199,0.000713569,,
1.284737825,0.000711493,,
1.289524794,0.000709896,,
1.295088172,0.000709258,,
1.300004601,0.000707182,,
1.30479157,0.000706863,,
1.309837461,0.000705585,,
1.315530062,0.000705106,,
1.320058346,0.000703989,,
1.325104237,0.000703669,,
1.329891205,0.000702232,,
1.334936976,0.000701913,,
1.340112209,0.000701274,,
1.344769835,0.000701274,,
1.349815607,0.000700955,,
1.354861498,0.000700795,,
1.360036612,0.000700636,,
1.365082383,0.000701115,,
1.369998813,0.000700955,,
1.375044703,0.000701434,,
1.379961014,0.000701594,,
1.385006905,0.000702552,,
1.390052676,0.000702711,,
1.394969106,0.000702871,,
1.400144219,0.00070351,,
1.405060649,0.000704627,,
1.409977078,0.000705266,,
1.415152311,0.000705905,,
1.420068741,0.000707182,,
1.424855709,0.00070798,,
1.430030942,0.000709258,,
1.435335398,0.000711014,,
1.439993143,0.000711493,,
1.445168257,0.000713569,,
1.450214148,0.000715006,,
1.455259919,0.000716443,,
1.460176349,0.00071788,,
1.46522212,0.000719636,,
1.470267892,0.000720754,,
1.475313663,0.00072283,,
1.480359435,0.000725225,,
1.485405326,0.000726822,,
1.490321755,0.000728259,,
1.495238185,0.000730015,,
1.500283957,0.00073225,,
1.505200386,0.000734326,,
1.510504842,0.000736721,,
1.515162587,0.000738957,,
1.520596504,0.000740713,,
1.525512934,0.000743427,,
1.530429363,0.000745663,,
1.535604477,0.000747898,,
1.540650249,0.000749974,,
1.545307994,0.000752369,,
1.550353765,0.000754764,,
1.555528879,0.000757319,,
1.560445309,0.000759714,,
1.565103054,0.000762109,,
1.570278168,0.000764504,,
1.574935794,0.000767538,,
1.580499172,0.00077121,,
1.585544944,0.000773286,,
1.590332031,0.00077632,,
1.595636606,0.000779353,,
1.600423574,0.000781589,,
1.605469346,0.000784463,,
1.610385776,0.000787816,,
1.615561008,0.00079069,,
1.620865583,0.000793564,,
